Future_Air,Bristow_Base,Location,Transition,Lat,Long_,Radius_of_,Buffer_Dri
Sikorsky S-92,Humberside,Humberside Airport,01/04/2015,53.58231,-0.350668,250,250 Nautical Miles
AgustaWestland AW189,Inverness,Inverness Airport,01/04/2015,57.541835,-4.069636,200,200 Nautical Miles
Sikorsky S-92,Caernarfon,Caernarfon Airport,01/07/2015,53.100801,-4.336573,250,250 Nautical Miles
AgustaWestland AW189,Lydd,London Ashford Airport,01/07/2015,50.955705,0.933637,200,200 Nautical Miles
AgustaWestland AW189,Cardiff,St Athan Airfield,01/10/2015,51.410449,-3.433953,200,200 Nautical Miles
AgustaWestland AW189,Prestwick,Glasgow Prestwick Airport,01/01/2016,55.508963,-4.61119,200,200 Nautical Miles
Sikorsky S-92,Newquay,Newquay Cornwall Airport,01/01/2016,50.446464,-5.002245,250,250 Nautical Miles
AgustaWestland AW189,Lee on Solent,Lee-on-Solent (HMS Daedalus),01/04/2017,50.816475,-1.19658,200,200 Nautical Miles
Sikorsky S-92,Sumburgh,Sumburgh Airport - Sheltand,01/04/2017,59.877904,-1.290191,250,250 Nautical Miles
Sikorsky S-92,Stornoway,stornoway airport,01/07/2017,58.21398,-6.321857,250,250 Nautical Miles
