ID,MCA_Region,Name,Notes,Lat,Long,Eastings,Northings,LocationVe,Comments,Website
1, ,Ballinskelligs Inshore Rescue (CRBI),Established 2008.,51.810676,-10.274291,0,64429,Yes,Exact location,http://ballinskelligsinshorerescue.ie/?page_id=21
2,Belfast,Ballybunion, ,52.5102,-9.6804,0,141148,No,"
Know that the station is on Ladies Beach but cannot precisely plot.",http://www.ballybunionrescue.com/
3, ,Ballycastle Community Rescue Service, ,55.200277,-6.257569,0,440630,Yes,Address provided on Facebook,https://www.facebook.com/pages/Ballycastle-Community-Rescue-Service/126852573991466?sk=info&tab=page_info
4, ,Ballyheigue (CRBI), ,52.392429,-9.863693,0,128350,Yes,Exact location,https://www.facebook.com/pages/Ballyheigue-Inshore-Rescue-Service/167978819881271?sk=timeline&ref=page_internal
5,Belfast,Banna, ,52.3498,-9.8415,0,123568,No,"
Cannot locate as it is suggested that the station is located within a village. Can not see though.",https://www.facebook.com/pages/Banna-Rescue-Unit/145128112221294?sk=timeline&ref=page_internal
6,Belfast,Bantry, ,51.681684,-9.459989,0,48639,Yes,"
Coordinates show exact match for lifeboat station",http://bantrylifeboat.com/
7,Liverpool,Bay Search and Rescue, ,54.1487,-2.9792,0,472985,No,"
Know roughly where the station is but cannot go to street view so cannot get exact location",http://www.baysearchandrescue.org.uk/
8, ,Birling Gap Safety Boat,Established 1984.,50.742678,0.201937,0,95986,No,"Pretty sure here, or very close", 
9, ,Blackwater Search & Rescue,Established 1981,52.141068,-8.270966,0,98780,Yes,Exact location,http://www.blackwatersubaqua.ie/
10, ,Boulmer Volunteer Rescue Service,Originally funded by the Duke of Northumberland.,55.419989,-1.582275,0,614088,Yes,Exact location,http://www.boulmerlifeboat.co.uk/
11,Belfast,Bunmahon, ,52.136,-7.3283,0,98394,No,"
Could not locate station",None
12, ,Bunratty Search and Rescue,Established 1981,52.696136,-8.812164,0,160822,Yes,Exact location,https://www.facebook.com/pages/Bunratty-Search-Rescue/340474389329812?fref=photo
13,Swansea,Burnham, ,51.232994,-2.999892,0,148676,Yes,"
Exact location found",http://www.burnham-on-sea.com/barb
