Occurrence,Lattitude,Longitude,Location,IncidentSu,Vessel,Web,Notes
02/01/2010,53.311291,-2.844945,"Location: C22 light float on the River Mersey, England.",Contact made by ro-ro cargo ferry Celtic Star with light float,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/contact-made-by-ro-ro-cargo-ferry-celtic-star-with-a-light-float-on-the-river-mersey-england,Not sure about the exact location as description very vague
19/01/2010,53.631755,-0.168899,"Location: Immingham Oil Terminal, England.",Parting of mooring ropes from unmanned general cargo vessel Fast Ann and subsequent contact with jetty,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/parting-of-mooring-ropes-from-unmanned-general-cargo-vessel-fast-ann-and-subsequent-contact-with-jetty-in-immingham-oil-terminal-england, 
27/01/2010,55.460794,-5.055431,"Location: 3.5' north-east of Pladda lighthouse, Firth of Clyde, Scotland.",Collision between general cargo vessel Leeswig and trawler Spes Bona V,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/collision-between-general-cargo-vessel-leeswig-trawler-spes-bona-v-in-the-firth-of-clyde-scotland, 
29/01/2010,51.466773,0.290762,"Location: West Thurrock, River Thames, England.",Failure of stores crane on trailing suction hopper dredger Sand Falcon,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/failure-of-stores-crane-on-trailing-suction-hopper-dredger-sand-falcon-at-west-thurrock-river-thames-england, 
02/02/2010,50.066667,-5,"Location: Falmouth Bay, England.",Fire in machinery space on ro-ro passenger ferry Oscar Wilde,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/fire-in-machinery-space-on-ro-ro-passenger-ferry-oscar-wilde-in-falmouth-bay-england, 
06/02/2010,55.786761,-5.526068,"Location: Kennacraig, West Loch Tarbert, Kintyre, Scotland.",Mechanical failure on ro-ro passenger ferry Isle of Arran resulting in contact with linkspan,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/mechanical-failure-on-ro-ro-passenger-ferry-isle-of-arran-resulting-in-contact-with-linkspan-at-west-loch-tarbert-kintyre-scotland, 
20/02/2010,51.612,-5.054667,"Location: Crow Rock off Linney Head, Wales",Grounding and subsequent sinking of crabber Kerloch,Fishing vessel,https://www.gov.uk/maib-reports/grounding-and-subsequent-sinking-of-crabber-kerloch-off-linney-head-wales, 
24/02/2010,56.623339,-6.003344,"Location: Western shores of Morvern, Scotland.",Grounding of live fish carrier Ronja Skye,Merchant vessel 100 gross tons or over and 1 others,https://www.gov.uk/maib-reports/grounding-of-live-fish-carrier-ronja-skye-on-morvern-west-coast-of-scotland, 
07/03/2010,50.899851,-1.414865,"Location: Berthed at the Port of Southampton, England.",Lifting equipment failure on self-propelled floating sheerleg crane Cormorant,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/persons-overboard-from-passenger-cruise-ship-saga-sapphire-during-a-lifeboat-drill-alongside-at-the-port-of-southampton-england-with-2-people-injured, 
23/03/2010,53.936749,-3.015382,"Location: Fleetwood Channel, England.",Grounding of ro-ro cargo ferry Stena Pioneer,Merchant vessel 100 gross tons or over,https://www.gov.uk/maib-reports/grounding-of-ro-ro-cargo-ferry-stena-pioneer-in-the-fleetwood-channel-england, 
