Zone,Coastguard,CRT_Mnemno,CRO_Complement,CRO_Comp_1,Search,Rope,Mud,Enhanced,Water,Vehicle,Estate,Lat,Long,Notes
5,Eyemouth,EYCRT,9,9,Y,Y,N,N,N,Y,"HM Coastguard 5 Fort Road, Eyemouth, Berwickshire, TD14 5BD",55.874859,-2.094523, 
5,Berwick,BWCRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, Samphire Court, Windmill Way West, Ramparts Business Park, Berwick upon Tweed, TD15 1UN",55.788792,-2.017611,Backed up by Eyemouth if full cliff team required
5,Holy Island,HICRT,7,7,Y,N,N,N,Y,Y,"HM Coastguard, Castle Road, Holy Island, TD15 2SG",55.671491,-1.799012,Access to the Island via a causeway which is cut off at high tide
5,Seahouses,SHCRT,10,10,Y,N,Y,N,Y,Y,"HM Coastguard, Seafield, Road, NE68 7SL",55.581964,-1.654754, 
5,Howick CRT,HWCRT,14,14,Y,Y,N,Y,Y,Y,"HM Coastguard, Windyside Hill, Craster, NE66 3TW",55.471662,-1.596762, 
5,Amble,AMCRT,11,11,Y,N,N,N,Y,Y,"HM Coastguard, Leazes Street, Amble, NE65 0AR",55.335521,-1.579624, 
5,Newbiggin,NGCRT,8,8,Y,Y,N,N,Y,Y,"HM Coastguard, 6 Ocean View, Newbiggin By The Sea, NE64 6PD",55.182255,-1.514715, 
5,Blyth,BLCRT,9,9,Y,N,N,Y,Y,Y,"HM Coastguard, Unit 27F, Cowpen Ind Est, Spencer Road, Blyth NE24 5TG",55.133123,-1.529696, 
6,Sunderland,SUCRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, Unit 6, Charles Street, SR6 0AN",54.912532,-1.377033, 
6,Seaham,SECRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, North Road, SR7 7EZ",54.840481,-1.332879, 
6,Hartlepool,HPCRT,9,9,Y,N,N,N,Y,Y,"HM Coastguard, Slake Terrace, Hartlepool Marina, Hartlepool TS24 0YD",54.68993,-1.198319, 
7,Redcar,REDCRT,9,9,Y,N,N,N,Y,Y,"HM Coastguard, Majuba Road, TS10 5BJ",54.619738,-1.080126, 
7,Skinningrove,SKCRT,11,11,Y,N,N,Y,Y,Y,"HM Coastguard, Marine Terrace, TS13 4BJ",54.570613,-0.898119, 
7,Staithes,STIRT,7,7,Y,N,N,N,Y,Y,"HM Coastguard Unit 1B, Hinderwell Industrial Estate, Station Road, Hinderwell",54.535015,-0.770847, 
7,Whitby,WYCRT,9,9,Y,Y,N,N,Y,Y,"HM Coastguard, Captain Cook Crescent, Whitby, North Yorkshire, YO22 4HL",54.48223,-0.605343, 
7,Robin Hoods Bay,RHBCRT,8,8,Y,Y,N,N,Y,Y,"HM Coastguard, Thorpe Lane, Robin Hoods Bay, North Yorkshire, YO22 4RN",54.433927,-0.537635, 
7,Ravenscar,RRCRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, Station Road, YO13 0LX",54.398324,-0.48434, 
7,Burniston,BVIRT,5,5,Y,Y,N,Y,Y,Y,"HM Coastguard, Scarborough, Road, Burniston, YO13 0HL",54.321197,-0.444755,On a dual page with Scarborough CRT
7,Scarborough,SCCRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, Paradise, Scarborough, YO11 1RB",54.286267,-0.391872, 
7,Filey,FYCRT,11,11,Y,Y,Y,N,Y,Y,"HM Coastguard, The Beach, Filey YO149LA",54.206821,-0.28477,Back up Bridlington CRT for Cliff/Rope Rescue
8,Bridlington,BTCRT,15,15,Y,Y,N,N,Y,Y,"HM Coastguard, Limekiln Lane, Bridlington, YO15 2LX",54.093988,-0.177649, 
8,Hornsea,HRCRT,11,11,Y,Y,N,N,Y,Y,"HM Coastguard, Burton Road, Hornsea, HU18 1TN",53.906176,-0.167963,"For rope rescue, require Bridlington CRT for back up"
8,Withernsea,WSCRT,11,11,Y,Y,N,Y,Y,Y,"HM Coastguard, The Promenade, Withernsea, HU19 2DW",53.730471,0.035405,"For rope rescue, require Bridlington CRT or Hornsea CRT for back up"
8,Easington,EAIRT,5,5,Y,N,N,N,Y,Y,"HM Coastguard, Beck Lane, Easington, HU12 0TX",53.651206,0.115835, 
8,Hull,HUCRT,11,11,Y,N,Y,Y,Y,Y,"HM Coastguard, Unit 5, Freightliner Road, Brighton Street Industrial Estate, Hull, HU3 4UW",53.72998,-0.379071, 
