SAP_ID,Station,Station_Ty,County,Region,Division,Country,Lifesaving,Lifesavi_1,ALM,Regional_M,CSP,Lat_Dec_De,Long_Dec_D
2354,Aith,ALB,Shetland Islands,Scotland & North,Central & Shetland,Scotland,Scotland,1,Dupre Strutt,Jacob Davies,Michael Avril,60.286309,-1.3752
2390,Kirkwall,ALB,Orkney Islands,Scotland & North,Highlands,Scotland,Scotland,1,Dupre Strutt,Jacob Davies,Michael Avril,58.985405,-2.960315
2372,Lerwick,ALB,Shetland Islands,Scotland & North,Central & Shetland,Scotland,Scotland,1,Dupre Strutt,Jacob Davies,Michael Avril,60.153287,-1.14022
2318,Longhope,ALB,Orkney Islands,Scotland & North,Highlands,Scotland,Scotland,1,Dupre Strutt,Jacob Davies,Michael Avril,58.800576,-3.206881
2336,Stromness,ALB,Orkney Islands,Scotland & North,Highlands,Scotland,Scotland,1,Dupre Strutt,Jacob Davies,Michael Avril,58.963337,-3.29769
2423,Buckie,ALB,Moray,Scotland & North,Highlands,Scotland,Scotland,2,Stuart Gudgeon,Jacob Davies,Michael Avril,57.680841,-2.952716
2415,Invergordon,ALB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,Stuart Gudgeon,Jacob Davies,Michael Avril,57.686544,-4.167407
2419,Kessock,ILB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,Stuart Gudgeon,Jacob Davies,Michael Avril,57.500991,-4.234654
2421,Loch Ness,ILB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,Stuart Gudgeon,Jacob Davies,Michael Avril,57.336745,-4.444432
2434,Macduff,ILB,Aberdeenshire,Scotland & North,Highlands,Scotland,Scotland,2,Stuart Gudgeon,Jacob Davies,Michael Avril,57.672697,-2.494272
2281,Thurso,ALB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,Stuart Gudgeon,Jacob Davies,Michael Avril,58.612121,-3.54698
2401,Wick,ALB,Highland,Scotland & North,Highlands,Scotland,Scotland,2,Stuart Gudgeon,Jacob Davies,Michael Avril,58.439337,-3.082953
2489,Aberdeen,ALB/ILB,Aberdeenshire,Scotland & North,Central & Shetland,Scotland,Scotland,3,Gavin Baird,Jacob Davies,Michael Avril,57.144039,-2.080431
2546,Arbroath,ALB/ILB,Angus,Scotland & North,Central & Shetland,Scotland,Scotland,3,Gavin Baird,Jacob Davies,Michael Avril,56.555267,-2.584827
2568,Broughty Ferry,ALB/ILB,City Of Dundee,Scotland & North,Central & Shetland,Scotland,Scotland,3,Gavin Baird,Jacob Davies,Michael Avril,56.465,-2.8774
2445,Fraserburgh,ALB,Aberdeenshire,Scotland & North,Highlands,Scotland,Scotland,3,Gavin Baird,Jacob Davies,Michael Avril,57.693571,-2.002824
2524,Montrose,ALB/ILB,Angus,Scotland & North,Central & Shetland,Scotland,Scotland,3,Gavin Baird,Jacob Davies,Michael Avril,56.703663,-2.463908
2467,Peterhead,ALB,Aberdeenshire,Scotland & North,Highlands,Scotland,Scotland,3,Gavin Baird,Jacob Davies,Michael Avril,57.503042,-1.774634
2502,Stonehaven,ILB,Aberdeenshire,Scotland & North,Central & Shetland,Scotland,Scotland,3,Gavin Baird,Jacob Davies,Michael Avril,56.960638,-2.201313
2580,Anstruther,ALB/ILB,Fife,Scotland & North,Central & Shetland,Scotland,Scotland,4,Mike Garfitt,Jacob Davies,Michael Avril,56.22152,-2.697318
2677,Dunbar,ALB/ILB,East Lothian,Scotland & North,Central & Shetland,Scotland,Scotland,4,Mike Garfitt,Jacob Davies,Michael Avril,56.005043,-2.514909
2702,Eyemouth,ALB,Scottish Borders,Scotland & North,Central & Shetland,Scotland,Scotland,4,Mike Garfitt,Jacob Davies,Michael Avril,55.872177,-2.086115
2611,Kinghorn,ILB,Fife,Scotland & North,Central & Shetland,Scotland,Scotland,4,Mike Garfitt,Jacob Davies,Michael Avril,56.068548,-3.173954
2655,North Berwick,ILB,East Lothian,Scotland & North,Central & Shetland,Scotland,Scotland,4,Mike Garfitt,Jacob Davies,Michael Avril,56.060237,-2.717634
2633,Queensferry,ILB,City Of Edinburgh,Scotland & North,Central & Shetland,Scotland,Scotland,4,Mike Garfitt,Jacob Davies,Michael Avril,55.9906,-3.3852
3083,Amble,ALB/ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,Carl Harris,Darren Lewis,Ben Mitchell,55.3364,-1.5816
3029,Berwick-Upon-Tweed,ALB/ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,Carl Harris,Darren Lewis,Ben Mitchell,55.760971,-2.000278
3120,Blyth,ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,Carl Harris,Darren Lewis,Ben Mitchell,55.125591,-1.498049
3065,Craster,ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,Carl Harris,Darren Lewis,Ben Mitchell,55.47263,-1.59414
3148,Cullercoats,ILB,Tyne & Wear,Scotland & North,North & Scot South,England,North and East,5,Carl Harris,Darren Lewis,Ben Mitchell,55.03552,-1.432091
3101,Newbiggin,ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,Carl Harris,Darren Lewis,Ben Mitchell,55.1859,-1.5066
3047,Seahouses,ALB/ILB,Northumberland,Scotland & North,North & Scot South,England,North and East,5,Carl Harris,Darren Lewis,Ben Mitchell,55.5829,-1.6539
3156,Tynemouth,ALB/ILB,Tyne & Wear,Scotland & North,North & Scot South,England,North and East,5,Carl Harris,Darren Lewis,Ben Mitchell,55.009112,-1.432922
3210,Hartlepool,ALB/ILB,County Durham,Scotland & North,North & Scot South,England,North and East,6,Helen Williams,Darren Lewis,Ben Mitchell,54.694838,-1.19096
3231,Redcar,ILB,North Yorkshire,Scotland & North,North & Scot South,England,North and East,6,Helen Williams,Darren Lewis,Ben Mitchell,54.618587,-1.063667
3249,Staithes And Runswick,ILB,North Yorkshire,Scotland & North,North & Scot South,England,North and East,6,Helen Williams,Darren Lewis,Ben Mitchell,54.559757,-0.791727
3167,Sunderland,ILB,Tyne & Wear,Scotland & North,North & Scot South,England,North and East,6,Helen Williams,Darren Lewis,Ben Mitchell,54.91994,-1.367461
3276,Whitby,ALB/ILB,North Yorkshire,Scotland & North,North & Scot South,England,North and East,6,Helen Williams,Darren Lewis,Ben Mitchell,54.48818,-0.613085
3355,Bridlington,ALB/ILB,East Riding Of Yorkshire,East,East,England,North and East,7,Chris Ward,Darren Lewis,Ben Mitchell,54.076464,-0.199733
