Distance,Knots,Shannon,Severn,Trent,Tyne,Mersey,E_Class,D_Class,B_Class,Arancia,Atlantic_75_B_Class,Atlantic_85_B_Class,Tamar,Station,Shape_Length,Shape_Area,Station_ID
8,16,0,0,0,1,1,0,0,0,0,0,0,0,ALDEBURGH,2.073711,0.050368,3624
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,ALDEBURGH,3.001785,0.124501,3624
17,34,0,0,0,0,0,0,0,1,0,0,0,0,ALDEBURGH,4.170654,0.230562,3624
20,40,0,0,0,0,0,1,0,0,0,0,0,0,ALDEBURGH,5.162172,0.322605,3624
24,48,0,0,0,0,0,0,0,0,0,0,0,0,ALDEBURGH,8.561412,0.465827,3624
8,16,0,0,0,1,1,0,0,0,0,0,0,0,HARWICH,3.956649,0.03676,3646
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,HARWICH,5.54634,0.091464,3646
17,34,0,0,0,0,0,0,0,1,0,0,0,0,HARWICH,6.901861,0.176493,3646
20,40,0,0,0,0,0,1,0,0,0,0,0,0,HARWICH,8.046418,0.257599,3646
24,48,0,0,0,0,0,0,0,0,0,0,0,0,HARWICH,11.113055,0.384929,3646
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WALTON & FRINTON,3.156357,0.057444,3668
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WALTON & FRINTON,5.08551,0.139215,3668
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WALTON & FRINTON,9.121301,0.251033,3668
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WALTON & FRINTON,10.930928,0.333939,3668
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WALTON & FRINTON,13.605627,0.466253,3668
8,16,0,0,0,1,1,0,0,0,0,0,0,0,CLACTON-ON-SEA,2.144348,0.055025,3708
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,CLACTON-ON-SEA,6.818289,0.131204,3708
17,34,0,0,0,0,0,0,0,1,0,0,0,0,CLACTON-ON-SEA,9.914339,0.231324,3708
20,40,0,0,0,0,0,1,0,0,0,0,0,0,CLACTON-ON-SEA,12.332205,0.313215,3708
24,48,0,0,0,0,0,0,0,0,0,0,0,0,CLACTON-ON-SEA,14.599308,0.442301,3708
8,16,0,0,0,1,1,0,0,0,0,0,0,0,WEST MERSEA,4.66897,0.023444,3710
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,WEST MERSEA,5.76405,0.054398,3710
17,34,0,0,0,0,0,0,0,1,0,0,0,0,WEST MERSEA,7.841462,0.111461,3710
20,40,0,0,0,0,0,1,0,0,0,0,0,0,WEST MERSEA,10.471228,0.170159,3710
24,48,0,0,0,0,0,0,0,0,0,0,0,0,WEST MERSEA,11.978529,0.269915,3710
8,16,0,0,0,1,1,0,0,0,0,0,0,0,BURNHAM-ON-CROUCH,3.293225,0.01167,4500
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,BURNHAM-ON-CROUCH,4.342213,0.064792,4500
17,34,0,0,0,0,0,0,0,1,0,0,0,0,BURNHAM-ON-CROUCH,8.489105,0.14094,4500
20,40,0,0,0,0,0,1,0,0,0,0,0,0,BURNHAM-ON-CROUCH,12.644332,0.194536,4500
24,48,0,0,0,0,0,0,0,0,0,0,0,0,BURNHAM-ON-CROUCH,15.317775,0.255821,4500
8,16,0,0,0,1,1,0,0,0,0,0,0,0,SOUTHEND-ON-SEA,3.92855,0.035336,4522
12.5,25,1,1,1,0,0,0,1,0,0,1,1,1,SOUTHEND-ON-SEA,7.910588,0.071657,4522
