Support_Centre,Support_Area,LG_Area,Address1,Address2,Address3,Address4,Address5,Lat,Long_,Lifeaving_
Ballymoney Support Centre,Ireland,Ireland,Lifesaving Management Ireland Base,10a Riada Avenue,Ballymoney,BT53 7LH, ,55.064196,-6.491993,35
Boldon Support Centre,Scotland and North,Boldon,Lifesaving Management Scotland and North Base,"Unit 12, Brooklands Way",Boldon Business Park,Boldon,NE35 9LZ,54.953039,-1.461971,5
Bridgend Support Centre,West,South Wales,"Unit 9, North Point",Bridgend Ind Est,Bridgend,CF31 3RX, ,51.500605,-3.544181,25
Bude Support Centre,South,North Devon and North Cornwall,The Ottery,Kings Hill Industrial Estate,"Bude, Cornwall",EX23 8QN, ,50.820874,-4.531008,23
Cardigan Support Centre,West,West Wales,"Unit 10, Parc Teifi Business Park",Cardigan,SA43 1EW,Swansea,SA5 4DE,52.084822,-4.646722,28
Catfield Support Centre,East,Norfolk and East Lindsey,Lifesaving Management East Base,"Unit 1, Broads Business Park",Catfield,Norfolk,NR29 5GA,52.742765,1.536355,9
Chichester Support Centre,East,Chichester,5-6 Donnington Business Park,Birdham Road,"Chichester, Sussex",PO20 7DU, ,50.82121,-0.796867,14
Dawlish Support Centre,South,South Devon,"Units 3&4, Matthews House, Dawlish Business Park","Exeter Road, Dawlish, Devon",EX7 0NH, , ,50.597119,-3.459267,18
St Asaph Support Centre,West,North West and Wales North,Unit 9 St Asaph Business Park,St Asaph,Denbighshire,LL17 0LJ, ,53.251961,-3.478525,30
Eyemouth Support Centre,Scotland and North,Scotland,"Units 1 & 2, Phase 3, Acredale Industrial Estate","Eyemouth, Scotland",TD14 5LQ, , ,55.86938,-2.104242,4
Formby Support Centre,West,North West and Wales North,"Units 34D & E, Stephenson Way",Formby Business Park,"Formby, Liverpool",L37 8EG, ,53.55519,-3.041651,31
Glenrothes Support Centre,Scotland and North,Scotland,"Unit 9, Fife Food & Business Centre","Southfield Industrial Estate, Faraday Road","Glenrothes, Fife",KY6 2RU, ,56.179342,-3.191534,4
Hastings Support Centre,East,East Sussex,East Beach Street,Hastings,East Sussex,TN34 3AR, ,50.855057,0.591295,13
Haverfordwest Support Centre,West,West Wales,Lifesaving Management West Base,"Unit B, Plot 17 East Estate",Withybush Industrial Park,Haverfordwest,SA62 4BW,51.828345,-4.959074,27
Hayle Support Centre,South,Penwith,RNLI Lifeguards,Unit 3 Hayle Industrial Estate,Marsh Lane,Hayle,TR27 5JS,50.178696,-5.406723,21
Helston Support Centre,South,Carrick and Kerrier,"Unit 5, Tresprison, Helston Business Park",Helston,TR13 0QD, , ,50.099358,-5.257646,20
Jersey Support Centre,South,Poole and Jersey,"Hallmark House, L'Avenue de la Commune","St Peter, Jersey",JE3 7BY, , ,49.206005,-2.195827,17
Kingsbridge Support Centre,South,South Devon,"Unit 5E, South Hams Business Park","Churchstow, Kingsbridge",Devon,TQ7 3QH, ,50.29743,-3.804692,19
Lifeguard Store & Office,Ireland,Ireland,The Old Coastguard Building,Corner of Main Street & Tunnel Brae,"Castlerock, Coleraine",BT51 4RA, ,55.165857,-6.789066,35
Mullacott Support Centre,South,North Devon and North Cornwall,Unit 1 Mullacott Ind Estate,Ilfracombe,Devon,EX34 8PL, ,51.178681,-4.125121,24
Newquay Support Centre,South,Newquay and Padstow,"Unit 1 & 2, Treloggan Industrial Estate",Newquay,Cornwall,TR7 2SX, ,50.404813,-5.061982,22
Padstow Support Centre,South,Newquay and Padstow,"Unit 7, Trecerus Industrial Estate",Padstow,PL28 8RW, , ,50.535523,-4.953933,23
Perranporth Support Centre,South,Carrick and Kerrier,RNLI Lifeguards,"New Road, Perranporth",Cornwall,TR6 0DL, ,50.342906,-5.147104,22
Poole Support Centre,South,Poole and Jersey,"Unit 4, Fleets Ind Est",36-44 Willis Way,"Poole, Dorset",BH15 3SU, ,50.733573,-1.988938,16
Ramsgate Support Centre,East,Thanet,"Unit 4, The Timber Yard Industrial Estate",Manston Road,Ramsgate,Kent,CT12 6HJ,51.341302,1.391122,12
RNLI HQ,South,HQ,West Quay Road,Poole,BH15 1HZ, , ,50.717013,-1.988307,16
RNLI Regional Base South,South, ,Lifesaving Management South Base,"Unit A Long Acre, Saltash Parkway","Saltash, Cornwall",PL12 6LZ, ,50.415803,-4.240981,20
Saltash Support Centre,South,South Devon,"Unit A Long Acre, Saltash Parkway","Saltash, Cornwall",PL12 6LZ, , ,50.415803,-4.240981,20
Scarborough Support Centre,Scotland and North,Scarborough,"Unit 3B, Orchard Court",Dunslow Road,Scarborough Business Park,Scarborough,YO11 3UT,54.237909,-0.412857,7
Skegness Support Centre,East,Norfolk and East Lindsey,"Unit 4, Burgh Trading Estate, New Road","Skegness, Lincs.",PE24 4UF, , ,53.155072,0.29555,8
Swansea Support Centre,West,South Wales,Manorbier House,Bailey Court,Felinfach,Swansea West Business Park,SA5 4DE,51.64393,-3.993572,26
Teesmouth Lifeguard Store,Scotland and North,Boldon,Ex Teesmouth Lifeboat Station,"South Gare, Redcar, Cleveland",TN10 5NX,YO11 3UT, ,54.639951,-1.140186,6
Wadebridge Technical Support Centre,South,Newquay and Padstow,Trevilling Road,"Wadebridge, Cornwall",PL27 6HF, , ,50.521361,-4.838817,23
Weymouth Support Centre,South,Poole and Jersey,1 Albany Street,Granby Industrial Estate,"Weymouth, Dorset",DT4 9TH, ,50.614981,-2.489611,18
Wirral Support Centre,West,North West and Wales North,"25 Park Vale Avenue




","Prenton North Cheshire Trading Estate,","Wirral, Cheshire",CH43 3HE, ,53.364711,-3.065872,30
